Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
125114,B000NY8OLK,A1I0PEMIH7L8Q,leo,10,10,1,1288310400,New recipe made in USA,"Other reviewers have already said that the Lindt-70% new recipe is terrible. I would like to add, that after reading the labels carefully, one can clearly see that the new Lindt is manufactured by an American company in New Hampshire, while the old one was manufactured in France and then distributed by that American company. What's pity! -- another great product has been ruined. The change of the recipe and of the production place must be related to the dollar weakness relative to the euro."
16352,B007TJGZ54,ABYVECXXSP6R5,Lapimienta,0,0,5,1280707200,Excellent-love it!,"This is the best k-cup coffee I've had.  Its bold smooth flavor is great for bkfst, but just as good to enjoy w/desserts or an afternoon pick-me-up.  I love it!"
25919,B000EVMNNC,A1JJ0QZIEENQ05,kms,0,2,3,1210636800,ok - but in small portions only,"I completely liked these things --- BEFORE I got the gigantic 5lb bag. I'd actually prefer to keep them as a treat rather than something to just get sick of. After just a few, the taste gets worse and they are just way too gummy. I am already sick of them and have like 4.5 lbs left.<br /><br />Too bad they didn't have the small bags in stock when I got these."
493952,B001F3HD06,A1CTTFNLP7MRYB,Dustin,0,0,5,1345161600,Good in Beer Too!!!,"First of all, I want to start off by saying that I'm not crazy!!!  I am a homebrewer and in my free time I enjoy day dreaming up the next great beer.  One day after eating girl scout thin mint cookies, an idea hit me.  I could add this Mint Teisseire to my Chocolate Stout beer and have a perfect Mint Chocolate Stout!!!!  I've got to say, it turned out perfectly!!!  This mint syrup did not disappoint, even in an odd use such as mine!  To me, that's the mark of quality!  Yummmmm!"
223426,B002QGK2V8,A2MIUU3BJO38YJ,Ladner D. Brown,1,1,4,1259280000,"Smooth, creamy and interesting","I just received my box of Kahula and it wasn't bad.  It really smells of carmel and rum when brewing but it's a good cup of coffee. It has no after taste and gets better each time I brew one.  Like I said, it starts off smelling strong, but give it time, you will love it.<a href=""http://www.amazon.com/gp/product/B002JPITXY"">Zune HD 16 GB Video MP3 Player (Black)</a>"
29862,B0045CTYNI,A1X2A8LAZLOUO0,Kathy,0,0,1,1347062400,bag was greasy,It was a real pain to throw out the whole bag.....but it was too disgusting to open.... beware. I am a huge fan of Kirkland products-but this was not worth opening to try.  My local Costco doesn't sell this.
567547,B003JO0VV2,A2CW6U54BZL8S4,Oueder,0,0,5,1327795200,Food that keeps growing,I have been using kefir with milk for about 6 weeks now and love it. I make a new batch every day and eat it with cereal for breakfast. I can't tell yet what the health benefits are. The kefir grains that I purchased have more than quadruppled. I am ready to give some away for free because I don't need that many. I wonder if we can eat the grains :)
213374,B001ELL3U0,A35DLQ4JW2L4M7,Ruthy,1,1,5,1311552000,Best zero calorie zero carb sweetener!!!,"I live in Northern Florida and work at a BBQ joint, so if you know anything about the south, you know that nine out of ten times people will choose sweet tea as drink of choice any time of day. Since I try to avoid conventional sugar at all costs, I was really missing my sweet tea. Now, I can brew plain, organic tea, add my squeeze of lemon and several drops of stevia and it tastes just like the real thing...but better since I know I'm not adding any toxins into my body! It DID take me a while to get used to the ""artificial"" taste of stevia, but now I can't do without it. It is the only sweetener in my house, besides raw honey. I keep several different flavors on hand, but the plain is definitely the most versatile. Wonderful product and I will definitely keep buying it.<br /> Also, this company presses straight from the stevia leaves. It isn't reconstituted!!! MAJOR plus!!!"
368351,B001SIY3O2,A39D0L5L89OK5Z,"C.C. Damon ""Cher""",0,0,4,1316649600,Great Protein,Jack Link's beef jerky is a quick and great tasting way to get extra protein into your diet.  A great snack.  I really like the teriyaki flavor.
185362,B001AHFVHO,A32RBPR18NJUOE,R. Robinson,0,0,5,1262822400,The Best Chips Ever!,"I stumbled on the Multigrain chips at the little store where I work.  I love them and buy them by the box from Amazon now!  The ingredients are all words you would expect and no long chemical names you can't pronounce.  The Sweet Potato is very good too, but I did not like the Olive flavor."
565504,B002GKEK7G,A7WP2OQB21ZAA,"Stormy ""Stormy""",0,0,5,1282521600,My favorite,"As a post-WLS patient, this is my favorite way to get an extra boost of protein. I love it."
